"Method","Mean_RMSE","Folds"
"linear",0.18017050776632,2
"quadratic",0.41183461918746,2
"cubic",0.539152950910029,2
"tree",0.235309905329895,2
"rf",0.150871948735708,2
"svm",0.137286659786346,2
"nn",0.405305262815238,2
"linear",0.181471148817461,3
"quadratic",0.444611624143737,3
"cubic",0.389810603759188,3
"tree",0.234767025354487,3
"rf",0.146802211776664,3
"svm",0.137665942383799,3
"nn",0.404707044552286,3
"linear",0.186051604895224,4
"quadratic",0.333779216467255,4
"cubic",0.598136425842959,4
"tree",0.241199751922823,4
"rf",0.146273608719105,4
"svm",0.132255219640095,4
"nn",0.404483488359517,4
"linear",0.166707884716085,5
"quadratic",0.319984645830385,5
"cubic",0.587368297319457,5
"tree",0.238761075329731,5
"rf",0.145019138350576,5
"svm",0.132616623965158,5
"nn",0.406174484120291,5
"linear",0.316966794945581,6
"quadratic",0.326180080514997,6
"cubic",0.386409093353757,6
"tree",0.231526293010699,6
"rf",0.142848904650631,6
"svm",0.129514581366786,6
"nn",0.404383988699735,6
"linear",0.242121198148921,7
"quadratic",0.237435711303869,7
"cubic",0.35096224244981,7
"tree",0.235354583863786,7
"rf",0.142587409278303,7
"svm",0.130859819299354,7
"nn",0.40757120990445,7
"linear",0.180540143795453,8
"quadratic",0.255450895810285,8
"cubic",0.312412166270236,8
"tree",0.23663376546023,8
"rf",0.14294241512169,8
"svm",0.129554441505197,8
"nn",0.407631955862619,8
"linear",0.235909527638736,9
"quadratic",0.303402878982758,9
"cubic",0.43691884925532,9
"tree",0.233333861120669,9
"rf",0.141261194915268,9
"svm",0.129468121728879,9
"nn",0.406837723343007,9
"linear",0.230513419762059,10
"quadratic",0.215202326378307,10
"cubic",0.234914910732163,10
"tree",0.235926528139423,10
"rf",0.140802875202169,10
"svm",0.128255408514422,10
"nn",0.407593611764106,10
